uid,comment,agreement_level,amir_1,amir_2,amir_comment,nathan_1,nathan_2,nathan_comment,neil_1,neil_2,neil_comment
IUQM795SUUAL3772,Prefer to call the bot myself if it will be wrong often.,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
Z0HVXIVHQV8Q9IW3,The first sentence immediately explains the issue. This is preferable to allow skimming of the comments and extracting relevant information.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
KCOPIQRHO12Q3YH1,Had to request for the BugFinderBot,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
YFYYJSR0VTCIMFX1,"If a bot can fail on an action, such as producing a patch, it should be explicitly called to prevent cluttering of messages and wasting action time.",3,---> human initiate/accountable,---> noisy,,---> human initiate/accountable,,,---> human initiate/accountable,---> noisy,
PZLXI7I31SGPB6I1,"I believe that bots that automatically interact on their own can result in a lot of spam or false calls. In this case we see that the bots suggested fix was not an actual fix to a problem, and thus a bot capable of automatically generating patches and suggesting them could result in hundreds upon hundreds of patches if the bot malfunctions.",3,---> noisy,---> human initiate/accountable,,---> noisy,---> human initiate/accountable,,---> noisy,---> human initiate/accountable,
C8J2T6Y8C73LX081,Its more clarifying in its response,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
3NNKDGBWGJAOYAL4,The text is shorter and more to the point.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
JPERQAPMXX8QJR92,A human issued directions to the bot so left is more clear.,3,---> human initiate/accountable,---> clear/concise,,---> human initiate/accountable,---> clear/concise,,---> clear/concise,---> human initiate/accountable,
R8NR3DIRCPB17Z03,consice but more polite to new contributors,3,---> clear/concise,---> polite,,---> clear/concise,---> polite,,---> clear/concise,---> polite,
W8IPKJF4B7SI0S14,More concise,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
LUCA8LHBU8UOLSW2,I do not think that a human comment is required to get the bot to run. I think the bot should be able to make comments automatically if they find something that needs attention.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
FSNPPHP72YJM7AX1,Left side is automatic,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
38AZCE7ILV890474,Language on the left side is slightly more descriptive.,3,---> information rich,,,---> information rich,,,---> information rich,,
62S9Y38F8OCGTBS4,More straightforward,3,---> clear/concise,,"based on dictionary definition of ""straightforward"" ",---> clear/concise,,,---> clear/concise,,
38AZCE7ILV890471,"I prefer the option for a real life human to call the bot before it acts. Here it makes sense that a human should have to call the bot for bug checking, but it doesnt if it is a small error.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
54L8ER7VWVIDX5O3,"feels more polite and more human to read. and honestly, its more understandable",3,---> polite,,,---> polite,---> clear/concise,,---> polite,,
ZZMAP7P2DCR4F854,More clear,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
W8IPKJF4B7SI0S13,More clear what is needed,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
ZZMAP7P2DCR4F851,Because the patch is initiated by the developer.,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
JSV0XSDZNZ7O0294,More positive and polite feedback. Provides helpful suggestions,3,---> polite,---> information rich,,---> polite,productivity,,---> polite,,
SADNA1H9P4E88B42,Luke703 started with generating a patch,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
WXCQZBDPXYKPDIG2,because of starter command @BugFinderBot generate patch for this commit,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> bot initiate/accountable,,a little unclear on their opinion
JSV0XSDZNZ7O0293,Provides more information on how to proceed. It is more polite,3,---> information rich,---> polite,,---> information poor,---> polite,,---> polite,---> information rich,
POKHG7NJWVGB5M24,More explaination,3,---> information rich,,not a clear explanation! ,---> information rich,,,---> information rich,,
BBZB1AOF8H0JMCR1,"Again, seeing who made the original commit is useful because I know exactly what commit the bot is referring to (since I can see the commit message and the user).",3,---> information rich,,,---> information rich,,,---> information rich,,
MYP4S8YBN8BWG4B3,"The left conversation gets straight to the point. It does not act like a person trying to have a conversation. To me, the left conversation is more clear.",3,---> clear/concise,personality,,---> clear/concise,personality,,---> clear/concise,,
JPERQAPMXX8QJR91,It makes it obvious that a human issued the bot instructions rather than no info on what led the bot to attempt a patch.,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
3NNKDGBWGJAOYAL2,"The bot on the left must be called, giving the programmer more control.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
FSNPPHP72YJM7AX2,"I like how it automatically spots bugs for you, then asks if you spot something wrong.",3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,---> information rich,
PCCASPJGG26IQUL1,prefer that the bot only starts after requested,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
M84E1R91PUDLI7D1,"It looks like on the left side the bot created the issue/PR on its own, and on the right it was triggered by a human action. I think that any action that could potentially add needless clutter to the repo (like for instance as in the example if the bot doesnt actually contribute useful code), it shouldnt be triggered automatically.",3,---> human initiate/accountable,---> noisy,,---> noisy,---> human initiate/accountable,,---> noisy,---> human initiate/accountable,
PCCASPJGG26IQUL4,Its more cordial and gives a little more detail than the one on the right,3,---> polite,,,---> polite,---> information rich,,---> polite,---> information rich,
E0O4HH2B8OOH8TT4,It is more thankful and polite.,3,---> polite,,,---> polite,,,---> polite,,
PCCASPJGG26IQUL2,"This way it seems that the bot is answering a request from a user, on the other side it seems almost like if the bot decided on his own to create a patch",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
Z0HVXIVHQV8Q9IW4,The first sentence immediately introduces the issue. This makes it easier to skim the conversation history and extract the necessary information.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
N1XPDEDVYC8IHHT3,"The right side addresses the creator of the PR directly and makes it clear that they need to do something, while the left simply makes a statement.",3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
5RM1148TZLWD3KV3,The bot is friendlier on the right,3,---> polite,,,---> polite,,,---> polite,,
D8MKPN81L7GUEDY3,The fewer words the better. Especially when they relay the same “information”,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
TVZL3B1MC1AY5UO2,Because the bot was prompted,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
NVDNCD4HG98UBPR2,The bot should automatically run without the need of a request from a developer.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
YFYYJSR0VTCIMFX3,"Again, the right side is more human and approachable than the left. It still conveys the needed information but in a less abrasive and mechanical manner.",3,---> polite,,,---> polite,,,---> polite,---> clear/concise,
DE0PFB2MNWD308Y2,"Again, the user didnt need to start the conversation.",3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
Z0HVXIVHQV8Q9IW2,The flakiness of the bot and lack of awareness of contextual information means that it should only be invoked manually.,3,---> information poor,---> human initiate/accountable,,---> human initiate/accountable,,,---> human initiate/accountable,,
0JT14WJ9CM37ZJS3,I really dont see why anyone would enjoy such vebose messages from a bot. I sure dont. So for me the left side gets the point across and contains all the informations needed.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
SADNA1H9P4E88B44,"Short, clear description",3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
R8NR3DIRCPB17Z01,should be done automatically if setup to do so,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
TVZL3B1MC1AY5UO1,I like that the bot is prompted,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> bot initiate/accountable,,
PZLXI7I31SGPB6I3,"More humane and lengthy responses can help people understand what mistake was made, along with making the bot seem more pleasant and user-friendly.",3,---> polite,,,---> polite,,,---> polite,,
8P6MSTN79MU80D23,It was easier to understand the problem and the action that is wanted from @DenzelFour,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
7TIIGKCKXL3OZBQ3,Conveys same information faster,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
IUQM795SUUAL3773,It is more clear as to the action the user must take and has a more friendly tone.,3,---> clear/concise,---> polite,,---> clear/concise,---> polite,,---> clear/concise,---> polite,
C8J2T6Y8C73LX083,Its more polite,3,---> polite,,,---> polite,,,---> polite,,
HYPD1D882CSGJ5W1,is a bit more clear to me,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
ZZMAP7P2DCR4F853,More clear,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
JPERQAPMXX8QJR94,more friendly. I like friendly bots.,3,---> polite,,,---> polite,,,---> polite,,
5RM1148TZLWD3KV4,bot is friendlier and less aggressive on the left,3,---> polite,,,---> polite,,,---> polite,,polite and friendly are for me the same
DE0PFB2MNWD308Y4,"Again, the bot seems more human-like.",3,---> polite,,,personality,,,---> polite,,
ZZMAP7P2DCR4F852,Because it is initiated by the developer,3,---> bot initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
D8MKPN81L7GUEDY4,"In general if you can say something with less words, you should. Also I like that the right side highlights not just the problem but also steps towards a solution.",3,---> information rich,---> clear/concise,,---> clear/concise,---> information rich,,---> clear/concise,---> information rich,
103SURAG9432MEE1,The bot can generate a patch without needing to be asked so makes life easier,3,---> bot initiate/accountable,---> boosting productivity,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
PL2COHD9Z5EFXMI3,its more understandable and human-friendly,3,---> clear/concise,---> polite,,---> polite,---> clear/concise,,---> polite,---> clear/concise,
BBZB1AOF8H0JMCR4,The bots explanation is much clearer and gives me a better understanding of whats going on.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,---> information rich,
JSV0XSDZNZ7O0291,Less communication between bot and user but information requested is concise,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
UOJCIKUO7ZFG9G84,Flutter-dash-bot sounds polite,3,---> polite,,,---> polite,,,---> polite,,
17MCCLM7D89ZKA91,"I prefer the right side because the person requests the bot to try a patch. Even though both attempts by the bot are incorrect, I dont want the possibility of the bot going out on its own to try to do fixes if it may consistently get them wrong. If that were the case, there could be a lot of invalid patches to go through.",3,---> human initiate/accountable,---> noisy,,---> human initiate/accountable,,,---> human initiate/accountable,,
2LY34VMY60J1KXB4,More polite,3,---> polite,,,---> polite,,,---> polite,,
JPERQAPMXX8QJR93,This bot is friendlier (less scolding).,3,---> polite,,,---> polite,,,---> polite,,
17MCCLM7D89ZKA92,"If the bugfinderbot tries to continuously find bugs on its own, but it continues to be incorrect, this will require a lot of editing on the programmers side. I would prefer if I have a concern and I need another set of eyes on the issue (such as a bots) to see if it can find some issue that I havent caught yet, but I want to have the choice of giving it the opportunity to find these bugs.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,---> noisy,
NVDNCD4HG98UBPR1,"The bot shouldnt need to be requested. It should be automated for patch. Plus, why is the human so polite with the bot? They just need to leave comments so if someone else tries to track this issue, they will be able to see what the comments entailed. But I guess that is not the study here or maybe it is?",3,---> bot initiate/accountable,,,---> bot initiate/accountable,---> rude,,---> bot initiate/accountable,,
YFYYJSR0VTCIMFX4,More human response that is less mechanical and abrasive than the straight to the point message on the right side. The left side is generally nicer (please close this) and is less attacking. The right side made me feel defensive about the pull request compared to the left side.,3,---> polite,,,---> polite,,,---> polite,,good quote
R3Q5UQM986VM4P33,"it is way more friendly, and it gives information on why no info is found. It needs you to read the CLA",3,---> polite,---> information rich,,---> polite,---> information rich,,---> polite,---> information rich,
G83P0VB75OKOK7L1,I prefer automated patch finder over explicitly initiating patch finder.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
WXCQZBDPXYKPDIG1,It includes a starter command @BugFinderBot generate patch for this commit,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
TGAPHMDIH1X08ZU4,"The bots message is more relevant to the user, easier to understand.",3,---> clear/concise,,,---> clear/concise,---> information rich,,---> clear/concise,,
MYP4S8YBN8BWG4B1,"Although there is more back and forth in the right conversation, TrishaOne has to manually ask the bot to generate a patch for the commit which makes sense since we may not want to create a patch for each commit, like the left side (I am assuming) would do.",3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
D8MKPN81L7GUEDY2,"Because there needs to be a manual validation step following each run of the bot, I believe it’s initiation should be manual as well and selective. Otherwise it seems to be creating more work for developers and not significantly improving their product.",3,---> human initiate/accountable,---> boosting productivity,,---> human initiate/accountable,,,---> human initiate/accountable,,
TGAPHMDIH1X08ZU3,"The bots message on the right is more personal, direct, and easier to understand.",3,---> polite,,,---> polite,---> clear/concise,,---> clear/concise,---> polite,
TVZL3B1MC1AY5UO3,This message sounds more friendly,3,---> polite,,,---> polite,,,---> polite,,
M84E1R91PUDLI7D4,"Since the bot is providing negative feedback, its attempts at sincerity may come off as cold or mocking, and may make it especially frustrating if the bot is mistakenly blocking a contributor.",3,---> rude,,"good example of a ""rude"" bot ",---> rude,,,---> rude,,
17MCCLM7D89ZKA93,"I prefer the bot to be as straight forward as possible in its instruction. It doesnt need to pretend to be a human with being more polite, I know its a bot.",3,---> rude,---> clear/concise,,personality,---> clear/concise,,---> clear/concise,---> rude,"here 'rude' again means more like ""business like"""
R8NR3DIRCPB17Z04,brief and direct,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
2LY34VMY60J1KXB2,Like that it kicks off automatically,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
4YPHZV41170X9043,The left side is more friendly. The left side uses an abbreviation CLA which a user glancing at the comment may not initially recognize.,3,---> polite,,,---> polite,---> information poor,,---> polite,,
0QPKOTN9NHERUWW1,The right side seems to be taken care of by the bot automatically which is ideal.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
3NNKDGBWGJAOYAL3,Less text and more to the point.,3,---> clear/concise,,,---> clear/concise,,,---> clear/concise,,
G83P0VB75OKOK7L3,I prefer concise messages with clear instructions on how to resolve the issue.,3,---> clear/concise,,,---> clear/concise,---> information rich,,---> clear/concise,,
HYPD1D882CSGJ5W4,more info,3,---> information rich,,,---> information rich,,,---> information rich,,
G83P0VB75OKOK7L4,I prefer reading concise feedback that clearly states the issue and solution.,3,---> clear/concise,,,---> clear/concise,---> information rich,,---> clear/concise,,
E0O4HH2B8OOH8TT3,polite,3,---> polite,,,---> polite,,,---> polite,,
54L8ER7VWVIDX5O4,more human and polite,3,---> polite,,,---> polite,,,---> polite,,
PZLXI7I31SGPB6I2,"I prefer that users call upon bots to do work, not have bots do work automatically, as a malfunctioning bot can create numerous patches that add nothing but clutter, and additionally, doing this unnecessary work wastes time and resources for everyone.",3,---> human initiate/accountable,---> hurting productivity,,---> human initiate/accountable,---> hurting productivity,,---> human initiate/accountable,,
0QPKOTN9NHERUWW3,More information provided to the right side.,3,---> information rich,,,---> clear/concise,---> information rich,,---> information rich,,
UOJCIKUO7ZFG9G83,The right side mentions the contributor and thanks him before mentioning the CLA,3,---> polite,,,---> polite,,,---> polite,,
IUQM795SUUAL3771,If there is a chance of it being wrong I want to call on it myself.,3,---> human initiate/accountable,,,---> human initiate/accountable,,,---> human initiate/accountable,,
4YPHZV41170X9041,I would not want to manually call upon the bot.,3,---> bot initiate/accountable,,,---> bot initiate/accountable,,,---> bot initiate/accountable,,
17MCCLM7D89ZKA94,Prefer bot messages to read like bot messages.,2,---> rude,,,personality,,Doesn't fit either polite or rude. ,---> clear/concise,---> rude,rude might be wrong valence
POKHG7NJWVGB5M21,Less interaction required,2,---> bot initiate/accountable,---> clear/concise,,---> boosting productivity,,,---> boosting productivity,,
R3Q5UQM986VM4P34,tekst on the left is too long,2,---> noisy,,,---> information poor,,,---> noisy,,
BBZB1AOF8H0JMCR2,"On the left, I can see that Luke703 made the original commit, so its easier to see what the BugFinderBot is referring to. On the right, I cant tell which commit the bug is in easily just by looking at the chat.",2,---> human initiate/accountable,---> information rich,,information content,,,---> noisy,---> information rich,
103SURAG9432MEE3,The answer seems less like a bot,2,---> polite,,,personality,,,---> polite,,
YFYYJSR0VTCIMFX2,"I prefer when bots, especially for pull requests are explicitly called. They may be called every time but the interaction of calling them generates an easy to follow conversation rather than just having a message appear on a PR.",2,---> human initiate/accountable,---> clear/concise,,---> bot initiate/accountable,---> clear/concise,,---> human initiate/accountable,---> information rich,
IUQM795SUUAL3774,More professional. Left side is too wordy.,2,---> clear/concise,,,---> noisy,---> information poor,,---> clear/concise,---> polite,
0QPKOTN9NHERUWW4,The left side provided more detailed explanation.,2,---> clear/concise,,,---> information rich,,,---> information rich,,
HYPD1D882CSGJ5W3,The explanation given by the bot is much more detailed.,2,---> clear/concise,,,---> information rich,,,---> information rich,,
HYPD1D882CSGJ5W2,The flow is more detailed,2,---> clear/concise,,,---> clear/concise,,,---> information rich,,
E0O4HH2B8OOH8TT1,polite,2,---> polite,,,personality,,,---> polite,,
KCOPIQRHO12Q3YH2,Had to request for the BugFinerBot,2,---> human initiate/accountable,,,control,,,---> human initiate/accountable,,
NVDNCD4HG98UBPR3,Not sure if I care about a bot being polite. So Im going to prefer the left.,2,---> rude,,,personality,,,---> rude,,"again rude might be better captured as ""impolite"" or uncaring"
103SURAG9432MEE4,Gives an answer why in the bot text,2,---> information rich,,,---> clear/concise,,,---> information rich,,rationale important?
7TIIGKCKXL3OZBQ2,I would rather a bot fail after them suggesting a change and not after I specifically asked for help,2,---> bot initiate/accountable,,,control,,,---> bot initiate/accountable,,interesting comment .. in failure case
PL2COHD9Z5EFXMI2,"When bot actions are triggered for every pull request, it can find bugs that programmers are not aware of",2,---> bot initiate/accountable,---> boosting productivity,,productivity,,,---> bot initiate/accountable,---> information rich,
PL2COHD9Z5EFXMI4,"More understandable, more human-like",2,---> polite,---> clear/concise,,personality,---> information rich,,---> clear/concise,---> polite,
LUCA8LHBU8UOLSW1,I think that the first message from the human user is not necessary to trigger the bot.,2,---> bot initiate/accountable,,,control,,,---> bot initiate/accountable,,
TGAPHMDIH1X08ZU1,It feels like the coder actually used the command to generate a patch. The left just seems like the bot is automatically patching bugs.,2,---> human initiate/accountable,,,control,,,---> human initiate/accountable,,
PZLXI7I31SGPB6I4,Bots that interact more humanely and not logically can result in more pleasant interactions overall.,2,---> polite,,,personality,,,---> polite,,
0JT14WJ9CM37ZJS1,"I rather see everything that contributors write, even bots commands",2,---> information rich,,,control,,,---> information rich,,
WXCQZBDPXYKPDIG3,Looks less robot-like,2,---> polite,,,personality,,,---> polite,,
M84E1R91PUDLI7D3,"Since this is a negative outcome (the user cant contribute to the repo), special care should be taken to not sound condescending. If it were a person responding, the right side would be okay, but since its a robot it can feel cold and insincere in my opinion.",2,---> polite,,,---> rude,,,---> polite,,
LUCA8LHBU8UOLSW3,I like the more human text and language that the bot uses. I think it is more pleasant to read.,2,---> polite,,,---> information rich,,,---> polite,,
4YPHZV41170X9044,The left side has too much filler text. The right side gives all the necessary information.,2,---> clear/concise,,,noisiness,,,---> clear/concise,,
54L8ER7VWVIDX5O2,feels weird the bot starting something on its own. i feel like it would quickly clog up the conversation,2,---> noisy,---> human initiate/accountable,,---> noisy,---> bot initiate/accountable,,---> human initiate/accountable,,
JSV0XSDZNZ7O0292,Command given to the bot is explicitly stated.,2,---> human initiate/accountable,,,---> human initiate/accountable,,,---> clear/concise,,
LUCA8LHBU8UOLSW4,I like the human nature of the text that the bot uses. I think it is more pleasant to read and fits the conversational nature of the thread better.,2,---> polite,,,personality,,,---> polite,,
KCOPIQRHO12Q3YH4,Explained the problem,2,---> information rich,,,---> information rich,,,---> clear/concise,,
DE0PFB2MNWD308Y3,It feels more human-like.,2,---> polite,,,personality,,,---> polite,,
TGAPHMDIH1X08ZU2,It is useful to know who is using the bot.,1,---> human initiate/accountable,,,control,,Given the settings of the experiment I would interpret this as control ,---> information rich,,
N1XPDEDVYC8IHHT4,It feels more professional and businesslike.,1,---> information rich,,,personality,,,---> polite,,
NVDNCD4HG98UBPR4,"Polite bot or not, it does the work which is what should matter in this case.",1,personality,,,personality,productivity,,---> rude,,
54L8ER7VWVIDX5O1,it feels like the bot wouldnt be necessary on every pull request,1,---> hurting productivity,,,---> noisy,,,---> human initiate/accountable,,
0JT14WJ9CM37ZJS4,The right side gets the point across just fine,1,---> information rich,,can't understand the sentence completely,information content,,,---> clear/concise,,
POKHG7NJWVGB5M22,Less intervention,1,---> bot initiate/accountable,,not clear,noisiness,,,---> human initiate/accountable,,
CGWTGIVGL5YBUM13,,0,,,???,,,,,,
8P6MSTN79MU80D22,No preference,0,,,neutral,,,,,,should add N/A
R3Q5UQM986VM4P31,Youre ususaly not expecting to need a patch,0,---> information poor,,i dont understand the english here,,,,,,unclear
62S9Y38F8OCGTBS1,Both have upsides other than the user envoking they are the same,0,control,,,control,,,,,na
C8J2T6Y8C73LX082,No difference,0,,,remained neutral ,,,,,,na
E0O4HH2B8OOH8TT2,Same conversation,0,,,remained neutral ,,,,,,na
62S9Y38F8OCGTBS2,On left the user calls for the bot while on the right they dont other than that they are the same. There are upsides to both as well.,0,control,,remained neutral ,control,,,,,unclear
8P6MSTN79MU80D21,no preference for either option,0,,,remained neutral ,,,,,,na
WXCQZBDPXYKPDIG4,looks more natural,0,,,not a clear explanation!,personality,,,,,unclear
5RM1148TZLWD3KV1,"Same as the first, it depends",0,,,not a clear explanation! ,,,,,,na
0JT14WJ9CM37ZJS2,"as before, I rather see everything written by anyone",0,---> information rich,,ambiguous comment,,,Don't know what to do with this one ,---> information rich,,
CGWTGIVGL5YBUM12,na,0,,,,,,,,,
N1XPDEDVYC8IHHT2,I feel that having the bot be called versus it running automatically is a matter of purpose in the repository and either is valid.,0,control,,remained neutral? ,control,,,,,unclear
8P6MSTN79MU80D24,Both options were easy to understand,0,,,remained neutral ,information content,,,,,unclear
CGWTGIVGL5YBUM14,identical,0,,,remained neutral ,,,,,,unclear
FSNPPHP72YJM7AX4,"I think both are fine. The left side is more friendly, while the right side is more abrupt but gets to the point.",0,,,remained neutral ,---> polite,---> clear/concise,,,,unclear
SADNA1H9P4E88B41,TrishaOne generated a patch for this,0,---> human initiate/accountable,,,,,,,,unclear
FSNPPHP72YJM7AX3,Left side is more abrupt and to the point. Right side is more friendly.,0,,,not a clear explanation ,---> polite,---> clear/concise,,,,unclear
UOJCIKUO7ZFG9G81,No one stands out to me,0,,,remained neutral,,,,,,na
R3Q5UQM986VM4P32,"depends on your needs. If you work with experienced programmers who know the works of BugfinderBot, you may want to be able to easily skip the bot",0,,,not clear ,,,,---> bot initiate/accountable,,
KCOPIQRHO12Q3YH3,"More concise, easier to read",0,,,,---> clear/concise,,,---> clear/concise,,
W8IPKJF4B7SI0S12,I dont have a strong opinion on either,0,,,remained neutral,,,,,,unclear
D8MKPN81L7GUEDY1,Not a strong preference. Given that the bot identified a false positive I would imagine that if the bot was to run automatically on every commit and then produce a large number of false positives developers might get frustrated and ignore its messages completely. It can be very time consuming for them to go through each error to validate its legitimacy. It’s best then if the developer can choose which commits they want the bot to run on - maybe more sensitive ones - and dedicate less time validating the bot’s results on trivial commits.,0,---> human initiate/accountable,---> hurting productivity,,,,Argues many different sides all at once,---> clear/concise,---> human initiate/accountable,
38AZCE7ILV890473,"This just looks like a change in language, I dont have an opinion either way I think both are fine as is.",0,,,remained neutral,,,,,,unclear
TVZL3B1MC1AY5UO4,both seem fine,0,,,remained neutral,,,,,,unclear
UOJCIKUO7ZFG9G82,No one stands out to me,0,,,remained neutral,,,,,,unclear
7TIIGKCKXL3OZBQ1,user wasnt relying on bot info,0,,,not clear ,,,,,,unclear
W8IPKJF4B7SI0S11,No strong opinion on either,0,,,remained neutral,,,,,,unclear
N1XPDEDVYC8IHHT1,I think either automatically running or running on call is a matter of usefulness in the repository.,0,,,remained neutral,control,,,,,unclear - context matters
